ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
N,43,0.9,Çc,Çs,200,9,,1986,21,0,,0,"133,758","505,248","1,077,235","2,786,096","42,030",1,1,1,1,1,0.205,0.002,522,0.96,"1,687","4,363",2.35,1.218,0.011,88,0.96,"4,363",2.35,A
N,44,0.9,Çc,Ç`,300,8,,1986,21,0,,0,"133,758","505,248","1,077,235","2,786,096","38,101",1,1,1,1,1,0.205,0.002,575,0.96,"1,529","4,359",2.59,1.218,0.01,97,0.96,"4,359",2.59,A
N,45,1.18,Çc,Çs,200,8,,1986,21,0,,0,"2,954,136","505,248","1,077,235","2,786,096","35,277",1,1,1,1,1,0.205,0.002,621,0.96,"1,416","7,064",4.53,1.218,0.01,105,0.96,"7,064",4.53,A
N,46,1.18,Çc,Çs,150,60,,1973,34,0,,0,"2,954,136","505,248","1,077,235","2,786,096","268,997",1,1,1,1,1,0.205,0.012,81,0.96,"10,798","7,288",0.61,1.218,0.073,14,1.95,"14,804",1.24,B
N,47,1,Çc,Çj,300,7,,1992,15,0,,0,"2,954,136","505,248","1,077,235","2,786,096","31,978",1,1,1,1,1,0.205,0.001,685,0.96,"1,284","7,061",4.99,1.218,0.009,115,0.96,"7,061",4.99,A
N,48,1,Çc,Çs,200,316,,1991,16,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,421,646",1,1,1,1,1,0.205,0.065,15,1.85,"57,067","16,177",0.26,1.218,0.385,3,7.4,"64,708",1.03,B
N,49,1.33,Çc,Çs,200,177,,1979,28,0,,0,"2,954,136","505,248","1,077,235","2,786,096","798,159",1,1,1,1,1,0.205,0.036,27,1.27,"32,039","10,314",0.29,1.218,0.216,5,4.61,"37,437",1.06,B
N,50,1,Çc,Çs,150,6,,1991,16,0,,0,"2,954,136","505,248","1,077,235","2,786,096","29,133",1,1,1,1,1,0.205,0.001,752,0.96,"1,169","7,058",5.48,1.218,0.008,127,0.96,"7,058",5.48,A
N,51,1,Çc,Çs,150,3,,1991,16,0,,0,"2,954,136","505,248","1,077,235","2,786,096","12,952",1,1,1,1,1,0.205,0.001,1692,0.96,520,"7,042",12.29,1.218,0.004,285,0.96,"7,042",12.29,A
N,52,0.86,Çc,Çs,100,2,,1996,11,0,,0,"1,610,800","505,248","1,077,235","2,786,096","10,075",1,1,1,1,1,0.205,0,2176,0.96,404,"5,750",12.92,1.218,0.003,367,0.96,"5,750",12.92,A
N,53,1.33,Çc,Ç`,300,71,,1970,37,0,,0,"2,954,136","505,248","1,077,235","2,786,096","318,166",1,1,1,1,1,0.205,0.015,69,0.96,"12,772","7,335",0.52,1.218,0.086,12,2.19,"16,734",1.19,B
N,54,1.33,Çc,Çs,150,50,,1994,13,0,,0,"53,133","505,248","1,077,235","2,786,096","224,376",1,1,1,1,1,0.205,0.01,98,0.96,"9,007","4,460",0.45,1.218,0.061,16,1.76,"8,177",0.82,C
N,55,0.9,Çc,Çs,200,64,,1980,27,0,,0,"53,133","505,248","1,077,235","2,786,096","288,706",1,1,1,1,1,0.205,0.013,76,0.96,"11,589","4,522",0.35,1.218,0.078,13,2.06,"9,703",0.76,C
N,56,1.33,Çc,Çs,200,154,,1979,28,0,,0,"2,954,136","505,248","1,077,235","2,786,096","690,973",1,1,1,1,1,0.205,0.032,32,1.17,"27,737","9,376",0.31,1.218,0.187,5,4.61,"36,943",1.21,B
N,57,1.06,Çc,Çs,200,46,,1974,33,0,,0,"536,574","505,248","1,077,235","2,786,096","208,342",1,1,1,1,1,0.205,0.01,105,0.96,"8,363","4,909",0.53,1.218,0.056,18,1.63,"8,335",0.9,C
N,58,1.06,Çc,Çj,300,136,,1991,16,0,,0,"2,954,136","505,248","1,077,235","2,786,096","613,287",1,1,1,1,1,0.205,0.028,36,1.11,"24,618","8,809",0.32,1.218,0.166,6,3.92,"31,109",1.15,B
N,59,1,Çc,Ç`,300,242,,1980,27,0,,0,"133,758","505,248","1,077,235","2,786,096","1,088,661",1,1,1,1,1,0.205,0.05,20,1.52,"43,700","8,498",0.18,1.218,0.295,3,7.4,"41,373",0.86,C
N,60,1.06,Çc,Çs,150,108,,1991,16,0,,0,"133,758","505,248","1,077,235","2,786,096","484,741",1,1,1,1,1,0.205,0.022,45,1,"19,458","4,987",0.23,1.218,0.131,8,3.05,"15,211",0.71,C
N,61,0.9,Çc,Çs,200,197,,1980,27,0,,0,"1,610,800","505,248","1,077,235","2,786,096","884,902",1,1,1,1,1,0.205,0.04,25,1.32,"35,521","9,061",0.23,1.218,0.24,4,5.66,"38,852",0.99,C
N,62,1.06,Çc,Çs,200,175,,1991,16,0,,0,"536,574","505,248","1,077,235","2,786,096","785,059",1,1,1,1,1,0.205,0.036,28,1.25,"31,513","7,113",0.2,1.218,0.213,5,4.61,"26,232",0.76,C
N,63,0.86,Çc,Çj,300,5,,1996,11,0,,0,"1,610,800","505,248","1,077,235","2,786,096","23,213",1,1,1,1,1,0.205,0.001,944,0.96,932,"5,762",5.61,1.218,0.006,159,0.96,"5,762",5.61,A
N,64,1.06,Çc,Çs,200,54,,1974,33,0,,0,"133,758","505,248","1,077,235","2,786,096","244,613",1,1,1,1,1,0.205,0.011,90,0.96,"9,819","4,557",0.42,1.218,0.066,15,1.85,"8,782",0.81,C
N,65,1.06,Çc,Çs,150,6,,1991,16,0,,0,"536,574","505,248","1,077,235","2,786,096","27,578",1,1,1,1,1,0.205,0.001,795,0.96,"1,107","4,735",3.88,1.218,0.007,134,0.96,"4,735",3.88,A
N,66,1,Çc,Çs,200,14,,1991,16,0,,0,"2,954,136","505,248","1,077,235","2,786,096","63,893",1,1,1,1,1,0.205,0.003,343,0.96,"2,565","7,091",2.51,1.218,0.017,58,0.96,"7,091",2.51,A
N,67,1.33,Çc,Çs,150,63,,1989,18,0,,0,"53,133","505,248","1,077,235","2,786,096","281,647",1,1,1,1,1,0.205,0.013,78,0.96,"11,306","4,515",0.36,1.218,0.076,13,2.06,"9,689",0.78,C
