ward,no.,leakage/y/m/d,leakage point,cause,repair way,other repair,remove or not,diameter,leakage year,construction year
I,479,その他00年00月00日,不明,不明,不明,,未撤去,200,不明,1969
I,471,その他00年00月00日,不明,不明,不明,,未撤去,300,不明,1980
I,522,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1978
I,895,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1969
I,895,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1969
I,895,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1969
I,895,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1969
I,904,その他00年00月00日,不明,不明,不明,,未撤去,100,不明,1974
I,919,平成7年12月3日,不明,不明,割継輪,,未撤去,100,1995,1967
I,919,その他00年00月00日,不明,不明,不明,,未撤去,100,不明,1967
I,1026,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1980
I,1181,昭和59年00月00日,不明,不明,不明,,不明,200,1984,1970
I,1226,平成17年11月22日,配水管本体,不明,割継輪,配水管修繕工事,未撤去,200,2005,2000
I,1373,昭和58年00月00日,不明,不明,不明,,未撤去,100,1983,1969
I,1373,昭和58年00月00日,不明,不明,不明,,未撤去,100,1983,1969
I,1435,昭和58年00月00日,不明,不明,不明,,未撤去,100,1983,1967
J,25,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1973
J,31,昭和58年00月00日,不明,不明,不明,,未撤去,300,1983,1975
J,31,昭和58年00月00日,不明,不明,不明,,未撤去,300,1983,1975
J,41,昭和58年00月00日,不明,不明,不明,,未撤去,200,1983,1972
J,41,昭和58年00月00日,不明,不明,不明,,未撤去,200,1983,1972
J,217,平成06年03月00日,不明,不明,不明,,未撤去,200,1994,1976
J,215,平成05年11月00日,不明,不明,不明,,未撤去,200,1993,1976
J,347,平成03年08月00日,不明,不明,不明,,未撤去,150,1991,1972
J,651,平成4年7月25日,継手,不明,不明,,未撤去,150,1992,1968
J,813,平成03年08月00日,不明,不明,漏水防止金具,,未撤去,150,1991,1969
J,820,平成17年11月21日,継手,不明,その他,配水管修繕工事(ボルト締め直し),未撤去,200,2005,1978
J,937,平成18年9月17日,配水管本体,不明,割継輪,,未撤去,150,2006,1979
J,1033,平成8年10月3日,配水管本体,不明,割継輪,,撤去済,150,1996,1988
J,1137,平成04年07月00日,不明,不明,不明,,未撤去,150,1992,1970
J,1370,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1980
J,1385,平成8年4月2日,配水管本体,不明,管取替え,,未撤去,200,1996,1968
J,1414,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1980
J,1613,平成15年5月5日,配水管本体,第3者,割継輪,配水漏水修繕工事,未撤去,300,2003,1967
J,1613,昭和60年00月00日,不明,不明,不明,,未撤去,300,1985,1967
J,1638,昭和62年00月00日,不明,不明,不明,,未撤去,150,1987,1980
J,1868,平成07年01月00日,不明,不明,その他,,未撤去,150,1995,1980
J,1997,平成18年12月21日,不明,不明,不明,,不明,75,2006,1967
J,1612,昭和61年00月00日,不明,不明,不明,,撤去済,150,1986,1974
J,2129,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1967
J,2153,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1977
J,2291,平成03年05月00日,不明,不明,不明,,未撤去,150,1991,1967
J,2325,平成8年2月23日,不明,不明,不明,,未撤去,150,1996,1980
J,2325,平成8年2月23日,不明,不明,不明,,未撤去,150,1996,1980
K,32,平成04年04月00日,不明,不明,不明,,未撤去,150,1992,1968
K,187,平成16年2月23日,配水管本体,不明,割継輪,,未撤去,200,2004,1970
K,19,平成01年00月00日,不明,不明,不明,下,未撤去,200,1989,1971
K,19,平成16年6月22日,配水管本体,不明,割継輪,,未撤去,200,2004,1971
K,309,昭和63年8月5日,配水管本体,不明,管取替え,,未撤去,200,1988,1968
K,313,平成8年3月2日,配水管本体,不明,割継輪,,未撤去,150,1996,1966
K,417,平成18年11月22日,配水管本体,不明,割継輪,,未撤去,300,2006,1968
K,419,昭和58年00月00日,不明,不明,不明,,不明,150,1983,1975
K,200,平成8年9月27日,配水管本体,不明,割継輪,,未撤去,150,1996,1986
K,578,平成16年6月1日,配水管本体,不明,割継輪,,未撤去,75,2004,1966
K,588,平成02年00月00日,不明,不明,不明,,未撤去,150,1990,1966
K,629,平成8年5月1日,配水管本体,不明,割継輪,,未撤去,200,1996,1972
K,614,平成8年5月16日,不明,不明,割継輪,,未撤去,100,1996,1972
K,879,昭和63年00月00日,不明,不明,不明,,未撤去,150,1988,1980
K,831,昭和63年00月00日,不明,不明,不明,,未撤去,200,1988,1980
K,744,平成03年07月00日,配水管本体,不明,管取替え,,未撤去,150,1991,1978
