ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
Y,60,0.89,Çc,Ç`,150,318,,1969,38,0,,0,"2,954,136","505,248","1,077,235","2,786,096","1,427,829",1,1,1,1,1,0.205,0.065,15,1.85,"57,315","16,189",0.26,1.218,0.387,3,7.4,"64,754",1.03,B
Y,61,0.83,Çc,Ç`,150,178,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","801,496",1,1,1,1,1,0.205,0.037,27,1.27,"32,173","6,633",0.19,1.218,0.217,5,4.61,"24,079",0.68,C
Y,62,0.83,Çc,Ç`,150,236,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","1,059,637",1,1,1,1,1,0.205,0.048,21,1.47,"42,535","8,058",0.17,1.218,0.287,3,7.4,"40,562",0.87,C
Y,63,0.83,Çc,Ç`,150,158,,1968,39,0,,0,"53,133","505,248","1,077,235","2,786,096","709,037",1,1,1,1,1,0.205,0.032,31,1.19,"28,462","6,106",0.19,1.218,0.192,5,4.61,"23,653",0.75,C
Y,64,0.83,Çc,Çs,200,111,,1988,19,0,,0,"53,133","505,248","1,077,235","2,786,096","500,089",1,1,1,1,1,0.205,0.023,44,1.01,"20,074","4,971",0.22,1.218,0.135,7,3.42,"16,833",0.76,C
Y,65,0.83,Çc,Çs,100,46,,1993,14,0,,0,"133,758","505,248","1,077,235","2,786,096","204,809",1,1,1,1,1,0.205,0.009,107,0.96,"8,221","4,519",0.5,1.218,0.055,18,1.63,"7,673",0.85,C
Y,66,0.83,Çc,Çs,100,94,,1993,14,0,,0,"133,758","505,248","1,077,235","2,786,096","424,815",1,1,1,1,1,0.205,0.019,52,0.96,"17,053","4,730",0.25,1.218,0.115,9,2.77,"13,648",0.73,C
Y,67,0.83,Çc,Çs,150,4,,1988,19,0,,0,"53,133","505,248","1,077,235","2,786,096","17,548",1,1,1,1,1,0.205,0.001,1249,0.96,704,"4,262",5.49,1.218,0.005,210,0.96,"4,262",5.49,A
Y,68,0.83,Çc,Ç`,200,68,,1966,41,0,,0,"133,758","505,248","1,077,235","2,786,096","305,384",1,1,1,1,1,0.205,0.014,72,0.96,"12,259","4,615",0.34,1.218,0.083,12,2.19,"10,529",0.78,C
Y,69,0.77,Çc,Çs,100,100,,1993,14,0,,0,"133,758","505,248","1,077,235","2,786,096","450,604",1,1,1,1,1,0.205,0.021,49,0.96,"18,088","4,755",0.24,1.218,0.122,8,3.05,"15,106",0.76,C
Y,70,0.77,Çc,Çs,150,6,,1988,19,0,,0,"53,133","505,248","1,077,235","2,786,096","25,704",1,1,1,1,1,0.205,0.001,853,0.96,"1,032","4,270",3.75,1.218,0.007,144,0.96,"4,270",3.75,A
Y,71,0.83,Çc,Çs,150,10,,1988,19,0,,0,"53,133","505,248","1,077,235","2,786,096","44,302",1,1,1,1,1,0.205,0.002,495,0.96,"1,778","4,287",2.19,1.218,0.012,83,0.96,"4,287",2.19,A
Y,72,0.77,Çc,Ç`,300,10,,1968,39,0,,0,"53,133","505,248","1,077,235","2,786,096","45,429",1,1,1,1,1,0.205,0.002,483,0.96,"1,824","4,288",2.13,1.218,0.012,81,0.96,"4,288",2.13,A
Y,73,0.77,Çc,Çj,300,4,,1995,12,0,,0,"53,133","505,248","1,077,235","2,786,096","15,786",1,1,1,1,1,0.205,0.001,1389,0.96,634,"4,260",6.1,1.218,0.004,234,0.96,"4,260",6.1,A
Y,74,0.96,Çc,Ç`,300,489,,1968,39,0,,0,"53,133","505,248","1,077,235","2,786,096","2,197,945",1,1,1,1,1,0.205,0.1,10,2.53,"88,229","16,748",0.17,1.218,0.595,2,10.88,"72,022",0.74,C
Y,75,0.96,Çc,Ç`,150,5,,1968,39,0,,0,"53,133","505,248","1,077,235","2,786,096","22,593",1,1,1,1,1,0.205,0.001,970,0.96,907,"4,267",4.27,1.218,0.006,163,0.96,"4,267",4.27,A
Y,76,0.77,Çc,Çs,150,7,,1988,19,0,,0,"53,133","505,248","1,077,235","2,786,096","33,458",1,1,1,1,1,0.205,0.002,655,0.96,"1,343","4,277",2.89,1.218,0.009,110,0.96,"4,277",2.89,A
Y,77,0.77,Çc,Çs,150,7,,1975,32,0,,0,"53,133","505,248","1,077,235","2,786,096","33,609",1,1,1,1,1,0.205,0.002,652,0.96,"1,349","4,277",2.88,1.218,0.009,110,0.96,"4,277",2.88,A
Y,78,0.96,Çc,Ç`,150,364,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","1,634,974",1,1,1,1,1,0.205,0.075,13,2.06,"65,630","12,477",0.17,1.218,0.443,2,10.88,"65,897",0.91,C
Y,79,0.77,Çc,Çs,150,5,,1974,33,0,,0,"53,133","505,248","1,077,235","2,786,096","23,438",1,1,1,1,1,0.205,0.001,935,0.96,941,"4,267",4.11,1.218,0.006,158,0.96,"4,267",4.11,A
Y,80,0.77,Çc,Çs,150,4,,1988,19,0,,0,"53,133","505,248","1,077,235","2,786,096","18,513",1,1,1,1,1,0.205,0.001,1184,0.96,743,"4,263",5.21,1.218,0.005,199,0.96,"4,263",5.21,A
Y,81,0.85,Çc,Çs,150,174,,1980,27,0,,0,"536,574","505,248","1,077,235","2,786,096","781,983",1,1,1,1,1,0.205,0.036,28,1.25,"31,390","7,109",0.21,1.218,0.212,5,4.61,"26,218",0.76,C
Y,82,0.85,Çc,Çs,150,167,,1980,27,0,,0,"53,133","505,248","1,077,235","2,786,096","750,878",1,1,1,1,1,0.205,0.034,29,1.23,"30,141","6,362",0.19,1.218,0.203,5,4.61,"23,846",0.72,C
Y,83,0.92,Çc,Ç`,300,557,,1966,41,0,,0,"2,954,136","505,248","1,077,235","2,786,096","2,503,988",1,1,1,1,1,0.205,0.114,9,2.77,"100,514","27,220",0.25,1.218,0.678,1,21.48,"211,078",1.91,B
Y,84,0.85,Çc,Çs,200,11,,1980,27,0,,0,"536,574","505,248","1,077,235","2,786,096","49,879",1,1,1,1,1,0.205,0.002,439,0.96,"2,002","4,757",2.16,1.218,0.014,74,0.96,"4,757",2.16,A
Y,85,0.86,Çc,Çs,150,367,1996,1980,27,0,,1,"2,954,136","505,248","1,077,235","2,786,096","1,652,274",1,1,1,1,1,1.218,0.447,2,10.88,"66,325","97,648",1.34,1.746,0.642,2,10.88,"97,648",1.34,A
Y,86,0.85,Çc,Ç`,200,7,,1966,41,0,,0,"536,574","505,248","1,077,235","2,786,096","29,359",1,1,1,1,1,0.205,0.001,747,0.96,"1,178","4,737",3.65,1.218,0.008,126,0.96,"4,737",3.65,A
Y,87,0.92,Çc,Ç`,200,2,,1968,39,0,,0,"53,133","505,248","1,077,235","2,786,096","9,494",1,1,1,1,1,0.205,0,2309,0.96,381,"4,254",10.13,1.218,0.003,389,0.96,"4,254",10.13,A
Y,88,0.92,Çc,Ç`,200,3,,1966,41,0,,0,"53,133","505,248","1,077,235","2,786,096","13,521",1,1,1,1,1,0.205,0.001,1621,0.96,543,"4,258",7.12,1.218,0.004,273,0.96,"4,258",7.12,A
